timestamp,visitorid,event,itemid,transactionid
1430622004384,101,view,5001,
1430622064384,101,view,5002,
1430622124384,101,addtocart,5001,
1430622184384,101,transaction,5001,90001
1430622244384,102,view,5001,
1430622304384,102,view,5003,
1430622364384,102,addtocart,5003,
1430622424384,103,view,5004,
1430622484384,103,view,5005,
1430622544384,103,transaction,5004,90002
1430622604384,104,view,5001,
1430622664384,104,view,5006,
1430622724384,104,addtocart,5006,
1430622784384,104,transaction,5006,90003
1430622844384,105,view,5007,
1430622904384,105,view,5008,
1430622964384,105,view,5001,
1430623024384,105,addtocart,5007,
